reservation_id,client_id,hotel_id,date_debut,date_fin,prix_total
1,1,1,2024-12-01,2024-12-05,1500.00
2,2,2,2024-12-10,2024-12-15,800.00
3,3,3,2024-12-20,2024-12-25,600.00
4,4,4,2024-12-15,2024-12-18,300.00
5,5,5,2024-12-11,2024-12-13,2000.00
6,6,6,2024-12-01,2024-12-03,1200.00
7,7,7,2024-12-15,2024-12-20,1000.00
8,8,8,2024-12-05,2024-12-09,900.00
9,9,9,2024-12-20,2024-12-22,700.00
10,10,10,2024-12-25,2024-12-28,500.00
11,11,11,2024-12-14,2024-12-19,2500.00
12,12,12,2024-12-10,2024-12-12,1800.00
13,13,13,2024-12-01,2024-12-03,1600.00
14,14,14,2024-12-18,2024-12-21,1400.00
15,15,15,2024-12-11,2024-12-14,2100.00
16,16,16,2024-12-02,2024-12-06,1300.00
17,17,17,2024-12-04,2024-12-08,900.00
18,18,18,2024-12-12,2024-12-16,800.00
19,19,19,2024-12-03,2024-12-07,1700.00
20,20,20,2024-12-19,2024-12-24,1500.00
21,21,21,2024-12-06,2024-12-10,1200.00
22,22,22,2024-12-08,2024-12-11,1800.00
23,23,23,2024-12-10,2024-12-13,2400.00
24,24,24,2024-12-12,2024-12-15,2200.00
25,25,25,2024-12-09,2024-12-12,2000.00
26,26,26,2024-12-15,2024-12-18,1300.00
27,27,27,2024-12-20,2024-12-23,1400.00
28,28,28,2024-12-02,2024-12-06,1200.00
29,29,29,2024-12-04,2024-12-08,1600.00
30,30,30,2024-12-07,2024-12-10,900.00
